Game,Release_Year,Genre_Category,research_category,diversity_subcategory,uses_drse,num_drse,Quartz,Opal,Amethyst,Citrine,Jasper,Emerald,Aquamarine,Diamond,Ruby,Sapphire,Pearl,Topaz,Garnet,Sunstone,Jade,Obsidian,Unique_Minerals_Gems,num_standard_gems,unique_mineral_count,total_mineral_diversity,has_real_minerals,real_mineral_count,diversity_category,cluster,PC1,PC2
Atelier Meruru,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Resleriana,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Rorona,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Ryza,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Ryza 2,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Ryza 3,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Shallie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Sophie,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Sophie 2,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Totori,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Viorate,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Atelier Yumia,,atelier,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,Standard Atelier crystal set,6,1,7,1,7,Medium,-1,,
Battle Chasers: Nightwar,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Before Crisis: Final Fantasy VII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Blue Prince,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Borderlands,,borderlands_looter_shooters,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eridium,0,1,1,1,0,Low,-1,,
Borderlands 2,2012.0,Looter Shooter,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eridium, moonstone, seraph crystals",0,3,3,1,3,Low,0,-1.9028451191647289,0.3057950711887095
Borderlands 3,2019.0,Looter Shooter,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eridium,0,1,1,1,1,Low,0,-1.911959132479884,0.2369106987037934
Borderlands: The Pre-Sequel,,borderlands_looter_shooters,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eridium, Moonstone",0,2,2,1,0,Low,-1,,
Bravely Default,2012.0,JRPG,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,"Crystals (elemental), gems for augmentation",7,2,9,1,9,Medium,1,2.872942427579333,-2.594935801923393
Cadence of Hyrule,,zelda,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Amber, Rupees",0,3,3,1,0,Low,-1,,
Chronicon,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Civilization,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Civilization II,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Civilization III,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Civilization IV,,strategy_4x_rts,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Coal, Aluminum, Uranium, Copper, Gold, Silver, Gems, Marble, Stone",0,10,10,1,10,High,-1,,
Civilization V,,strategy_4x_rts,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Iron, Coal, Aluminum, Uranium, Copper, Gold, Silver, Salt, Gems, Marble",1,10,11,1,11,High,-1,,
Civilization VI,,strategy_4x_rts,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"Iron, Coal, Aluminum, Uranium, Copper, Salt, Niter, Gypsum, Mercury, Silver",2,10,12,1,12,High,-1,,
Civilization VII,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Colony Survival,,mining_survival,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coal, Iron, Gold, Tin, Lead, Copper",0,6,6,1,0,Medium,-1,,
Command & Conquer,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tiberium,0,1,1,0,1,Low,-1,,
Command & Conquer: Red Alert,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ore, Gems",0,2,2,0,2,Low,-1,,
Core Keeper,2022.0,Survival Crafting,D/R/S/E Cultural Default,,True,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,"Copper, Tin, Iron, Gold, Scarlet, Octarine, Galaxite, Solarite, Ancient Gemstone, Amber",7,10,17,1,17,High,1,1.454308223729842,-1.4884136179200742
Cosmic Star Heroine,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Cozy Grove,,mining_survival,Fictional/Low Diversity,Low diversity real minerals,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron Ore, Silver Ore, Gold Ore",1,3,4,1,0,Low,-1,,
Crisis Core: Final Fantasy VII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Crusader Kings III,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Crypt of the NecroDancer,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Crystal Project,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Cult of the Lamb,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Cyberpunk 2077,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Component Tiers (Item-based),0,1,1,1,0,Low,-1,,
Dandy Ace,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Darkest Dungeon,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Dead Cells,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Deep Rock Galactic,2020.0,Co-op FPS,D/R/S/E Cultural Default,,True,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,"Bismor, Croppa, Enor Pearl, Jadiz, Magnite, Umanite, Ligmite, Morkite, Nitra, Gold, Red Sugar, Bittergem",4,12,16,1,16,High,0,0.3381534696499485,1.2117512468261975
Deepworld,,mmo_mmorpg,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Destiny,,borderlands_looter_shooters,True Mineralogical Diversity,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spinmetal, Helium Filaments, Spirit Bloom, Relic Iron, Baryon Bough, Dusklight Shard, Datalattice",0,7,7,1,0,Medium,-1,,
Destiny 2,2017.0,Looter Shooter,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Glimmer, legendary shards, enhancement prisms, ascendant shards, bright dust",0,5,5,0,5,Medium,0,-1.923156962491241,0.3478115660743034
Diablo,1996.0,Action RPG,D/R/S/E Cultural Default,,True,2,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,Skull gems (enchanted),7,1,8,1,8,Medium,2,3.797553333014516,2.591934978002711
Diablo II,2000.0,Action RPG,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,"Skull, perfect gems",8,2,10,1,10,Medium,1,3.8014404579620167,-1.7718278863804464
Diablo II: Resurrected,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Diablo III,2012.0,Action RPG,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,"Marquise, Imperial, Flawless Imperial gems",7,3,10,1,10,Medium,1,2.8449100296999803,-2.6817991681972844
Diablo IV,,loot_arpg,D/R/S/E Cultural Default,,True,4,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,Standard ARPG gem set,6,1,7,1,7,Medium,-1,,
Dirge of Cerberus: Final Fantasy VII,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Materia, Mythril, Adamantite",0,3,3,1,0,Low,-1,,
Dragon Age: Inquisition,,phase1_rpg_crafting,True Mineralogical Diversity,,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Iron, Dawnstone, Bloodstone, Lazurite, Silverite, Everite, Stormheart",2,7,9,1,0,Medium,-1,,
Dragon Quest,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest II,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest III,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest IV,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest IX,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest Treasures,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest V,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest VI,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest VII,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest VIII,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest X,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Dragon Quest XI,2017.0,JRPG,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,"Orichalcum, slime crown, gold ore, silver ore, platinum ore, densinium, saint's ashes",9,7,16,1,16,High,1,4.338580062994906,-1.5479131076205546
Dragon Quest: The Adventure of Dai: A Hero's Bonds,,dragon_quest,D/R/S/E Cultural Default,,True,4,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,"Iron Ore, Silver Ore, Gold Ore, Glass Frit, Lucent Weaver, Platinum Ore, Mythril Ore",5,7,12,1,0,High,-1,,
Driftland,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Dune: Spice Wars,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spice Melange, Plascrete, Solari",0,3,3,0,3,Low,-1,,
EVE Online,2003.0,MMORPG,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tritanium, Pyerite, Mexallon, Isogen, Nocxium, Zydrine, Megacyte, Morphite",0,8,8,0,8,Medium,0,-1.8775868959154645,0.6922334284988847
Elder Scrolls Online,,mmo_mmorpg,D/R/S/E Cultural Default,,True,4,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,"Iron, High Iron, Orichalcum, Dwarven, Adamantite, Rubedite, Turquoise, Bloodstone",7,8,15,1,0,High,-1,,
Endless Legend,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Titanium, Glassteel, Adamantian, Palladian, Mithrite, Hyperium, Dust",0,7,7,0,7,Medium,-1,,
Endless Legend 2,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Endless Space,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
Endless Space 2,,strategy_4x_rts,Fictional/Low Diversity,Fictional minerals only,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Titanium, Hyperium, Adamantian, Anti-Matter, Essence, Quadrinid, Orichalcix",0,7,7,0,7,Medium,-1,,
Enter the Gungeon,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Etrian Odyssey series,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Europa Universalis IV,,strategy_4x_rts,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Stone, Iron",0,3,3,1,3,Low,-1,,
FTL: Faster Than Light,,roguelikes,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gold, Gems, Iron, Stone",0,4,4,1,0,Low,-1,,
Fae Tactics,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Fantasian: Neo Dimension,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Fell Seal: Arbiter's Mark,,phase1_rpg_crafting,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Iron, Copper, Gold, Stones",0,4,4,1,0,Low,-1,,
Final Fantasy Crystal Chronicles,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Crystal Chronicles: Echoes of Time,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Crystal Chronicles: My Life as a Darklord,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Crystal Chronicles: My Life as a King,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Crystal Chronicles: Ring of Fates,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy I,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy II,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy III,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy IV,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy IX,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
Final Fantasy Tactics,,final_fantasy,Fictional/Low Diversity,Low diversity real minerals,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fire Crystal, Water Crystal, Earth Crystal, Wind Crystal, Mythril",0,5,5,1,0,Medium,-1,,
